similarity,stsb:test,twitter:test,sick:r,mean
COS+SUP,73.47,53.15,72.73,66.45
WRD+SUP,74.80,57.41,67.67,66.63
WRD+SUP+L0,73.47,53.15,72.73,66.45
WRD+SUP+L1,69.78,50.42,70.82,63.67
WRD+SUP+L2,71.18,51.81,69.98,64.32
WRD+SUP+L3,72.51,55.52,68.62,65.55
WRD+SUP+L4,73.64,56.29,68.06,65.99
ROTS+SUP0,73.47,53.15,72.73,66.45
ROTS+SUP1,73.77,53.34,73.31,66.80
ROTS+SUP2,74.02,53.40,73.37,66.93
ROTS+SUP3,74.05,54.23,73.13,67.14
ROTS+SUP4,74.69,54.88,72.77,67.45
ROTS+SUPmean,74.25,53.93,73.13,67.10
ROTS+SUPmax,74.58,54.88,72.77,67.41
ROTS+SUPmin,73.36,52.74,72.74,66.28
ROTS+SUPlast,74.30,54.95,72.54,67.26
COS+SWC,74.78,54.01,72.12,66.97
WRD+SWC,74.58,57.10,67.09,66.26
WRD+SWC+L0,74.59,53.74,71.57,66.63
WRD+SWC+L1,68.48,49.94,69.75,62.72
WRD+SWC+L2,70.17,51.23,68.94,63.45
WRD+SWC+L3,71.94,54.85,67.96,64.92
WRD+SWC+L4,73.18,55.76,67.43,65.46
ROTS+SWC0,74.60,53.74,71.57,66.63
ROTS+SWC1,74.84,53.99,72.02,66.95
ROTS+SWC2,75.08,54.09,72.00,67.06
ROTS+SWC3,75.25,54.95,71.72,67.31
ROTS+SWC4,75.66,55.56,71.33,67.52
ROTS+SWCmean,75.33,54.59,71.79,67.24
ROTS+SWCmax,75.53,55.59,71.33,67.48
ROTS+SWCmin,74.80,53.44,71.58,66.61
ROTS+SWClast,75.47,55.73,71.15,67.45
COS+WR,70.13,52.01,73.20,65.11
WRD+WR,73.13,56.73,68.73,66.20
WRD+WR+L0,70.13,52.01,73.20,65.11
WRD+WR+L1,66.55,49.78,71.38,62.57
WRD+WR+L2,69.18,51.38,70.73,63.76
WRD+WR+L3,70.83,55.01,69.66,65.17
WRD+WR+L4,71.92,55.67,69.13,65.57
ROTS+WR0,70.14,52.03,73.20,65.12
ROTS+WR1,70.67,52.13,73.82,65.54
ROTS+WR2,71.21,52.03,74.01,65.75
ROTS+WR3,71.31,52.76,73.94,66.01
ROTS+WR4,72.34,53.32,73.75,66.47
ROTS+WRmean,71.52,52.59,73.84,65.98
ROTS+WRmax,72.17,53.32,73.75,66.41
ROTS+WRmin,70.12,51.44,73.21,64.92
ROTS+WRlast,71.78,53.41,73.48,66.22
