similarity,stsb:test,twitter:test,sick:r,mean
COS+SUP,79.55,46.56,73.89,66.66
WRD+SUP,79.05,52.21,70.02,67.09
WRD+SUP+L0,79.55,46.56,73.89,66.66
WRD+SUP+L1,74.50,43.22,73.21,63.64
WRD+SUP+L2,75.42,46.13,72.56,64.70
WRD+SUP+L3,76.33,50.02,71.07,65.81
WRD+SUP+L4,77.61,51.03,70.42,66.36
ROTS+SUP0,79.55,46.55,73.89,66.66
ROTS+SUP1,79.73,46.81,74.47,67.00
ROTS+SUP2,79.73,47.08,74.56,67.12
ROTS+SUP3,79.54,48.09,74.31,67.31
ROTS+SUP4,79.74,48.71,73.93,67.46
ROTS+SUPmean,79.81,47.60,74.30,67.24
ROTS+SUPmax,79.74,48.73,73.93,67.47
ROTS+SUPmin,79.29,46.22,73.89,66.47
ROTS+SUPlast,79.37,48.72,73.63,67.24
COS+SWC,79.70,46.46,71.58,65.91
WRD+SWC,77.98,52.49,68.92,66.46
WRD+SWC+L0,79.71,46.21,71.23,65.72
WRD+SWC+L1,72.47,42.45,71.33,62.09
WRD+SWC+L2,73.87,45.86,70.86,63.53
WRD+SWC+L3,75.08,50.12,69.94,65.05
WRD+SWC+L4,76.34,51.25,69.33,65.64
ROTS+SWC0,79.71,46.20,71.23,65.71
ROTS+SWC1,79.78,46.48,71.77,66.01
ROTS+SWC2,79.70,46.84,71.85,66.13
ROTS+SWC3,79.47,47.97,71.67,66.37
ROTS+SWC4,79.48,48.72,71.36,66.52
ROTS+SWCmean,79.79,47.40,71.64,66.28
ROTS+SWCmax,79.45,48.74,71.36,66.52
ROTS+SWCmin,79.63,45.90,71.24,65.59
ROTS+SWClast,79.28,48.72,71.05,66.35
COS+WR,79.53,43.46,74.54,65.84
WRD+WR,79.03,50.82,70.94,66.93
WRD+WR+L0,79.53,43.46,74.54,65.84
WRD+WR+L1,74.50,40.74,73.99,63.08
WRD+WR+L2,75.36,44.09,73.35,64.27
WRD+WR+L3,76.19,48.54,71.98,65.57
WRD+WR+L4,77.47,49.69,71.32,66.16
ROTS+WR0,79.53,43.46,74.54,65.84
ROTS+WR1,79.75,43.71,75.12,66.19
ROTS+WR2,79.78,43.98,75.22,66.33
ROTS+WR3,79.55,45.05,75.02,66.54
ROTS+WR4,79.71,45.70,74.68,66.70
ROTS+WRmean,79.83,44.54,75.00,66.46
ROTS+WRmax,79.71,45.71,74.68,66.70
ROTS+WRmin,79.28,43.14,74.54,65.65
ROTS+WRlast,79.39,45.62,74.41,66.47
