similarity,stsb:test,twitter:test,sick:r,mean
COS+SUP,73.50,42.49,71.97,62.65
WRD+SUP,73.78,45.72,67.83,62.44
WRD+SUP+L0,73.50,42.49,71.97,62.65
WRD+SUP+L1,67.51,40.72,70.33,59.52
WRD+SUP+L2,68.96,41.98,69.54,60.16
WRD+SUP+L3,70.92,44.45,68.68,61.35
WRD+SUP+L4,72.25,44.95,68.15,61.79
ROTS+SUP0,73.50,42.49,71.98,62.65
ROTS+SUP1,73.76,42.71,72.60,63.02
ROTS+SUP2,73.95,42.81,72.61,63.13
ROTS+SUP3,73.95,43.40,72.37,63.24
ROTS+SUP4,74.48,43.78,72.01,63.43
ROTS+SUPmean,74.19,43.10,72.39,63.23
ROTS+SUPmax,74.42,43.78,72.01,63.40
ROTS+SUPmin,73.52,42.36,71.98,62.62
ROTS+SUPlast,74.24,43.74,71.74,63.24
COS+SWC,74.22,43.76,70.07,62.69
WRD+SWC,73.01,46.01,66.73,61.92
WRD+SWC+L0,73.93,43.63,69.60,62.39
WRD+SWC+L1,66.32,41.36,68.72,58.80
WRD+SWC+L2,67.76,42.00,68.10,59.29
WRD+SWC+L3,69.95,44.65,67.56,60.72
WRD+SWC+L4,71.31,45.23,67.06,61.20
COS+WR,71.13,40.18,72.37,61.23
WRD+WR,72.52,45.04,68.38,61.98
WRD+WR+L0,71.13,40.18,72.37,61.23
WRD+WR+L1,65.31,40.38,70.76,58.82
WRD+WR+L2,67.48,41.36,69.94,59.59
WRD+WR+L3,69.64,43.73,69.22,60.87
WRD+WR+L4,70.92,44.35,68.70,61.32
