similarity,stsb:test,twitter:test,sick:r,mean
COS+SUP,69.00,33.12,70.96,57.69
WRD+SUP,70.77,41.36,66.34,59.49
WRD+SUP+L0,69.00,33.12,70.96,57.69
WRD+SUP+L1,64.92,34.36,68.24,55.84
WRD+SUP+L2,67.34,36.75,68.12,57.40
WRD+SUP+L3,68.89,41.39,67.03,59.10
WRD+SUP+L4,70.16,40.77,66.59,59.17
ROTS+SUP0,69.00,33.12,70.96,57.69
ROTS+SUP1,69.42,33.37,71.38,58.06
ROTS+SUP2,69.95,33.80,71.74,58.50
ROTS+SUP3,70.13,34.42,71.50,58.68
ROTS+SUP4,70.57,34.97,71.17,58.90
ROTS+SUPmean,69.99,33.99,71.47,58.48
ROTS+SUPmax,70.57,34.97,71.17,58.90
ROTS+SUPmin,68.91,33.18,70.75,57.61
ROTS+SUPlast,70.17,34.49,70.72,58.46
COS+SWC,70.41,38.84,71.39,60.21
WRD+SWC,70.64,43.46,66.29,60.13
WRD+SWC+L0,70.13,38.46,70.75,59.78
WRD+SWC+L1,64.50,37.32,67.73,56.52
WRD+SWC+L2,66.80,39.23,67.65,57.89
WRD+SWC+L3,68.57,43.52,66.95,59.68
WRD+SWC+L4,69.92,42.86,66.52,59.77
ROTS+SWC0,70.13,38.46,70.75,59.78
ROTS+SWC1,70.44,38.67,71.02,60.05
ROTS+SWC2,70.87,39.03,71.20,60.37
ROTS+SWC3,71.03,39.58,70.92,60.51
ROTS+SWC4,71.40,40.03,70.56,60.67
ROTS+SWCmean,70.92,39.21,70.97,60.37
ROTS+SWCmax,71.40,40.03,70.56,60.67
ROTS+SWCmin,70.05,38.51,70.59,59.72
ROTS+SWClast,71.22,39.74,70.23,60.40
COS+WR,67.86,31.85,72.33,57.35
WRD+WR,70.33,40.56,67.68,59.52
WRD+WR+L0,67.86,31.85,72.33,57.35
WRD+WR+L1,64.02,33.07,69.39,55.49
WRD+WR+L2,66.64,35.63,69.25,57.17
WRD+WR+L3,68.36,40.34,68.34,59.02
WRD+WR+L4,69.66,39.91,67.91,59.16
ROTS+WR0,67.87,31.86,72.33,57.36
ROTS+WR1,68.40,32.07,72.68,57.72
ROTS+WR2,69.09,32.40,73.04,58.18
ROTS+WR3,69.44,32.96,72.85,58.42
ROTS+WR4,70.00,33.48,72.55,58.68
ROTS+WRmean,69.14,32.60,72.82,58.19
ROTS+WRmax,70.00,33.48,72.55,58.68
ROTS+WRmin,67.83,31.94,72.12,57.30
ROTS+WRlast,69.58,33.09,72.22,58.30
