similarity,stsb:test,mean
COS+SUP,69.54,69.54
WRD+SUP,71.97,71.97
WRD+SUP+L0,69.54,69.54
WRD+SUP+L1,64.66,64.66
WRD+SUP+L2,67.43,67.43
WRD+SUP+L3,69.47,69.47
WRD+SUP+L4,70.61,70.61
ROTS+SUP0,69.54,69.54
ROTS+SUP1,70.03,70.03
ROTS+SUP2,70.62,70.62
ROTS+SUP3,70.94,70.94
ROTS+SUP4,71.79,71.79
ROTS+SUPmean,70.96,70.96
ROTS+SUPmax,71.57,71.57
ROTS+SUPmin,69.87,69.87
ROTS+SUPlast,71.49,71.49
COS+SWC,73.14,73.14
WRD+SWC,72.34,72.34
WRD+SWC+L0,72.92,72.92
WRD+SWC+L1,65.75,65.75
WRD+SWC+L2,67.82,67.82
WRD+SWC+L3,69.74,69.74
WRD+SWC+L4,70.93,70.93
ROTS+SWC0,72.93,72.93
ROTS+SWC1,73.19,73.19
ROTS+SWC2,73.51,73.51
ROTS+SWC3,73.70,73.70
ROTS+SWC4,74.18,74.18
ROTS+SWCmean,73.77,73.77
ROTS+SWCmax,74.01,74.01
ROTS+SWCmin,73.24,73.24
ROTS+SWClast,74.01,74.01
COS+WR,64.67,64.67
WRD+WR,69.05,69.05
WRD+WR+L0,64.67,64.67
WRD+WR+L1,59.96,59.96
WRD+WR+L2,64.10,64.10
WRD+WR+L3,66.33,66.33
WRD+WR+L4,67.51,67.51
ROTS+WR0,64.67,64.67
ROTS+WR1,65.39,65.39
ROTS+WR2,66.32,66.32
ROTS+WR3,66.46,66.46
ROTS+WR4,67.90,67.90
ROTS+WRmean,66.75,66.75
ROTS+WRmax,67.68,67.68
ROTS+WRmin,64.74,64.74
ROTS+WRlast,67.36,67.36
