similarity,stsb:test,mean
COS+SUP,69.00,69.00
WRD+SUP,70.77,70.77
WRD+SUP+L0,69.00,69.00
WRD+SUP+L1,64.92,64.92
WRD+SUP+L2,67.34,67.34
WRD+SUP+L3,68.89,68.89
WRD+SUP+L4,70.16,70.16
ROTS+SUP0,69.00,69.00
ROTS+SUP1,69.42,69.42
ROTS+SUP2,69.95,69.95
ROTS+SUP3,70.13,70.13
ROTS+SUP4,70.57,70.57
ROTS+SUPmean,69.99,69.99
ROTS+SUPmax,70.57,70.57
ROTS+SUPmin,68.91,68.91
ROTS+SUPlast,70.17,70.17
COS+SWC,70.41,70.41
WRD+SWC,70.64,70.64
WRD+SWC+L0,70.13,70.13
WRD+SWC+L1,64.50,64.50
WRD+SWC+L2,66.80,66.80
WRD+SWC+L3,68.57,68.57
WRD+SWC+L4,69.92,69.92
COS+WR,67.86,67.86
WRD+WR,70.33,70.33
WRD+WR+L0,67.86,67.86
WRD+WR+L1,64.02,64.02
WRD+WR+L2,66.64,66.64
WRD+WR+L3,68.36,68.36
WRD+WR+L4,69.66,69.66
