model,score,BCa 95% CI,dataset
WRD,74.80,"[72.27, 77.13]",stsb:test
COS,73.47,"[70.90, 75.86]",stsb:test
ROTS+L0,73.47,"[70.77, 75.76]",stsb:test
ROTS+L1,73.77,"[71.24, 76.08]",stsb:test
ROTS+L2,74.02,"[71.40, 76.34]",stsb:test
ROTS+L3,74.05,"[71.25, 76.44]",stsb:test
ROTS+L4,74.69,"[72.12, 77.01]",stsb:test
ROTS+mean,74.25,"[71.70, 76.56]",stsb:test
ROTS+max,74.58,"[71.87, 76.86]",stsb:test
ROTS+min,73.36,"[70.57, 75.71]",stsb:test
ROTS+last,74.30,"[71.70, 76.64]",stsb:test
WRD,57.41,"[52.87, 61.57]",twitter:test
COS,53.15,"[48.54, 57.23]",twitter:test
ROTS+L0,53.15,"[48.47, 57.13]",twitter:test
ROTS+L1,53.34,"[48.84, 57.51]",twitter:test
ROTS+L2,53.40,"[48.76, 57.63]",twitter:test
ROTS+L3,54.23,"[49.76, 58.44]",twitter:test
ROTS+L4,54.88,"[50.28, 59.08]",twitter:test
ROTS+mean,53.93,"[49.50, 58.13]",twitter:test
ROTS+max,54.88,"[50.39, 59.04]",twitter:test
ROTS+min,52.74,"[48.17, 56.90]",twitter:test
ROTS+last,54.95,"[50.51, 59.01]",twitter:test
WRD,67.67,"[66.06, 69.17]",sick:r
COS,72.73,"[71.16, 74.24]",sick:r
ROTS+L0,72.73,"[71.19, 74.25]",sick:r
ROTS+L1,73.31,"[71.71, 74.74]",sick:r
ROTS+L2,73.37,"[71.85, 74.81]",sick:r
ROTS+L3,73.13,"[71.56, 74.58]",sick:r
ROTS+L4,72.77,"[71.26, 74.22]",sick:r
ROTS+mean,73.13,"[71.59, 74.58]",sick:r
ROTS+max,72.77,"[71.27, 74.23]",sick:r
ROTS+min,72.74,"[71.15, 74.17]",sick:r
ROTS+last,72.54,"[70.96, 74.03]",sick:r
