model,score,BCa 95% CI,dataset
WRD,74.58,"[72.08, 76.81]",stsb:test
COS,74.78,"[72.31, 77.06]",stsb:test
ROTS+L0,74.60,"[72.08, 76.92]",stsb:test
ROTS+L1,74.84,"[72.38, 77.09]",stsb:test
ROTS+L2,75.08,"[72.64, 77.42]",stsb:test
ROTS+L3,75.25,"[72.69, 77.57]",stsb:test
ROTS+L4,75.66,"[73.17, 77.86]",stsb:test
ROTS+mean,75.33,"[72.82, 77.56]",stsb:test
ROTS+max,75.53,"[73.08, 77.77]",stsb:test
ROTS+min,74.80,"[72.16, 77.14]",stsb:test
ROTS+last,75.47,"[72.99, 77.64]",stsb:test
WRD,57.10,"[52.42, 61.23]",twitter:test
COS,54.01,"[49.35, 58.23]",twitter:test
ROTS+L0,53.74,"[49.07, 57.98]",twitter:test
ROTS+L1,53.99,"[49.38, 58.26]",twitter:test
ROTS+L2,54.09,"[49.38, 58.41]",twitter:test
ROTS+L3,54.95,"[50.26, 59.19]",twitter:test
ROTS+L4,55.56,"[50.95, 59.88]",twitter:test
ROTS+mean,54.59,"[49.93, 59.00]",twitter:test
ROTS+max,55.59,"[50.96, 59.70]",twitter:test
ROTS+min,53.44,"[48.65, 57.71]",twitter:test
ROTS+last,55.73,"[51.22, 59.76]",twitter:test
WRD,67.09,"[65.49, 68.60]",sick:r
COS,72.12,"[70.63, 73.57]",sick:r
ROTS+L0,71.57,"[70.01, 73.01]",sick:r
ROTS+L1,72.02,"[70.46, 73.44]",sick:r
ROTS+L2,72.00,"[70.50, 73.40]",sick:r
ROTS+L3,71.72,"[70.23, 73.17]",sick:r
ROTS+L4,71.33,"[69.80, 72.76]",sick:r
ROTS+mean,71.79,"[70.23, 73.22]",sick:r
ROTS+max,71.33,"[69.83, 72.80]",sick:r
ROTS+min,71.58,"[70.04, 73.00]",sick:r
ROTS+last,71.15,"[69.62, 72.62]",sick:r
