model,score,BCa 95% CI,dataset
WRD,73.13,"[70.40, 75.54]",stsb:test
COS,70.13,"[67.35, 72.53]",stsb:test
ROTS+,70.14,"[67.47, 72.65]",stsb:test
ROTS+,70.67,"[67.98, 73.12]",stsb:test
ROTS+,71.21,"[68.59, 73.62]",stsb:test
ROTS+,71.31,"[68.51, 73.77]",stsb:test
ROTS+,72.34,"[69.78, 74.66]",stsb:test
ROTS+ean,71.52,"[68.99, 73.87]",stsb:test
ROTS+ax,72.17,"[69.51, 74.51]",stsb:test
ROTS+in,70.12,"[67.20, 72.64]",stsb:test
ROTS+ast,71.78,"[69.21, 74.10]",stsb:test
WRD,56.73,"[52.07, 60.83]",twitter:test
COS,52.01,"[47.67, 56.15]",twitter:test
ROTS+,52.03,"[47.45, 56.02]",twitter:test
ROTS+,52.13,"[47.62, 56.29]",twitter:test
ROTS+,52.03,"[47.21, 56.24]",twitter:test
ROTS+,52.76,"[48.20, 56.84]",twitter:test
ROTS+,53.32,"[48.75, 57.45]",twitter:test
ROTS+ean,52.59,"[47.95, 56.78]",twitter:test
ROTS+ax,53.32,"[48.78, 57.36]",twitter:test
ROTS+in,51.44,"[46.76, 55.55]",twitter:test
ROTS+ast,53.41,"[49.05, 57.46]",twitter:test
WRD,68.73,"[67.13, 70.27]",sick:r
COS,73.20,"[71.66, 74.68]",sick:r
ROTS+,73.20,"[71.63, 74.68]",sick:r
ROTS+,73.82,"[72.30, 75.28]",sick:r
ROTS+,74.01,"[72.52, 75.49]",sick:r
ROTS+,73.94,"[72.42, 75.40]",sick:r
ROTS+,73.75,"[72.16, 75.17]",sick:r
ROTS+ean,73.84,"[72.27, 75.28]",sick:r
ROTS+ax,73.75,"[72.22, 75.20]",sick:r
ROTS+in,73.21,"[71.60, 74.66]",sick:r
ROTS+ast,73.48,"[71.92, 74.96]",sick:r
