model,score,BCa 95% CI,dataset
WRD,71.97,"[69.18, 74.43]",stsb:test
COS,69.54,"[66.72, 72.05]",stsb:test
ROTS+L0,69.54,"[66.68, 72.13]",stsb:test
ROTS+L1,70.03,"[67.29, 72.51]",stsb:test
ROTS+L2,70.62,"[67.89, 73.03]",stsb:test
ROTS+L3,70.94,"[68.20, 73.40]",stsb:test
ROTS+L4,71.79,"[69.19, 74.15]",stsb:test
ROTS+mean,70.96,"[68.26, 73.37]",stsb:test
ROTS+max,71.57,"[68.98, 73.95]",stsb:test
ROTS+min,69.87,"[66.98, 72.43]",stsb:test
ROTS+last,71.49,"[68.90, 73.83]",stsb:test
WRD,55.63,"[50.93, 60.07]",twitter:test
COS,49.79,"[44.88, 54.34]",twitter:test
ROTS+L0,49.79,"[44.83, 54.33]",twitter:test
ROTS+L1,50.10,"[45.13, 54.72]",twitter:test
ROTS+L2,50.30,"[45.20, 54.90]",twitter:test
ROTS+L3,51.08,"[46.17, 55.50]",twitter:test
ROTS+L4,51.83,"[46.91, 56.23]",twitter:test
ROTS+mean,50.73,"[45.79, 55.23]",twitter:test
ROTS+max,51.83,"[47.05, 56.38]",twitter:test
ROTS+min,49.54,"[44.59, 54.14]",twitter:test
ROTS+last,51.76,"[47.01, 56.10]",twitter:test
WRD,67.52,"[65.94, 69.13]",sick:r
COS,72.92,"[71.40, 74.43]",sick:r
ROTS+L0,72.92,"[71.34, 74.40]",sick:r
ROTS+L1,73.51,"[71.95, 74.94]",sick:r
ROTS+L2,73.56,"[72.03, 75.06]",sick:r
ROTS+L3,73.33,"[71.78, 74.74]",sick:r
ROTS+L4,72.98,"[71.44, 74.50]",sick:r
ROTS+mean,73.35,"[71.79, 74.83]",sick:r
ROTS+max,72.98,"[71.41, 74.43]",sick:r
ROTS+min,72.93,"[71.37, 74.40]",sick:r
ROTS+last,72.80,"[71.21, 74.31]",sick:r
