model,score,BCa 95% CI,dataset
WRD,72.34,"[69.61, 74.79]",stsb:test
COS,73.14,"[70.51, 75.51]",stsb:test
ROTS+L0,72.93,"[70.19, 75.32]",stsb:test
ROTS+L1,73.19,"[70.55, 75.59]",stsb:test
ROTS+L2,73.51,"[70.95, 75.90]",stsb:test
ROTS+L3,73.70,"[71.06, 76.06]",stsb:test
ROTS+L4,74.18,"[71.66, 76.50]",stsb:test
ROTS+mean,73.77,"[71.24, 76.14]",stsb:test
ROTS+max,74.01,"[71.44, 76.30]",stsb:test
ROTS+min,73.24,"[70.60, 75.63]",stsb:test
ROTS+last,74.01,"[71.43, 76.31]",stsb:test
WRD,57.31,"[52.66, 61.52]",twitter:test
COS,55.34,"[50.75, 59.63]",twitter:test
ROTS+L0,54.37,"[49.51, 58.72]",twitter:test
ROTS+L1,54.60,"[49.87, 58.91]",twitter:test
ROTS+L2,54.79,"[50.00, 59.19]",twitter:test
ROTS+L3,55.67,"[50.86, 59.99]",twitter:test
ROTS+L4,56.38,"[51.78, 60.67]",twitter:test
ROTS+mean,55.29,"[50.58, 59.63]",twitter:test
ROTS+max,56.38,"[51.71, 60.68]",twitter:test
ROTS+min,54.01,"[49.20, 58.35]",twitter:test
ROTS+last,56.45,"[51.79, 60.54]",twitter:test
WRD,65.99,"[64.36, 67.51]",sick:r
COS,71.23,"[69.69, 72.67]",sick:r
ROTS+L0,70.53,"[68.94, 72.02]",sick:r
ROTS+L1,70.97,"[69.39, 72.39]",sick:r
ROTS+L2,70.94,"[69.41, 72.40]",sick:r
ROTS+L3,70.68,"[69.15, 72.13]",sick:r
ROTS+L4,70.30,"[68.77, 71.77]",sick:r
ROTS+mean,70.75,"[69.23, 72.22]",sick:r
ROTS+max,70.30,"[68.73, 71.74]",sick:r
ROTS+min,70.54,"[68.99, 72.06]",sick:r
ROTS+last,70.13,"[68.60, 71.65]",sick:r
