model,score,BCa 95% CI,dataset
WRD,79.05,"[76.85, 81.05]",stsb:test
COS,79.55,"[77.23, 81.61]",stsb:test
ROTS+L0,79.55,"[77.15, 81.57]",stsb:test
ROTS+L1,79.73,"[77.44, 81.77]",stsb:test
ROTS+L2,79.73,"[77.40, 81.71]",stsb:test
ROTS+L3,79.54,"[77.09, 81.61]",stsb:test
ROTS+L4,79.74,"[77.41, 81.77]",stsb:test
ROTS+mean,79.81,"[77.48, 81.83]",stsb:test
ROTS+max,79.74,"[77.43, 81.78]",stsb:test
ROTS+min,79.29,"[76.79, 81.36]",stsb:test
ROTS+last,79.37,"[77.02, 81.41]",stsb:test
WRD,52.21,"[47.20, 56.89]",twitter:test
COS,46.56,"[41.08, 51.56]",twitter:test
ROTS+L0,46.55,"[41.14, 51.50]",twitter:test
ROTS+L1,46.81,"[41.44, 51.79]",twitter:test
ROTS+L2,47.08,"[41.87, 52.25]",twitter:test
ROTS+L3,48.09,"[42.85, 52.77]",twitter:test
ROTS+L4,48.71,"[43.50, 53.50]",twitter:test
ROTS+mean,47.60,"[42.36, 52.44]",twitter:test
ROTS+max,48.73,"[43.51, 53.49]",twitter:test
ROTS+min,46.22,"[40.78, 51.23]",twitter:test
ROTS+last,48.72,"[43.42, 53.61]",twitter:test
WRD,70.02,"[68.52, 71.45]",sick:r
COS,73.89,"[72.47, 75.24]",sick:r
ROTS+L0,73.89,"[72.45, 75.26]",sick:r
ROTS+L1,74.47,"[73.09, 75.83]",sick:r
ROTS+L2,74.56,"[73.14, 75.88]",sick:r
ROTS+L3,74.31,"[72.91, 75.68]",sick:r
ROTS+L4,73.93,"[72.55, 75.33]",sick:r
ROTS+mean,74.30,"[72.90, 75.65]",sick:r
ROTS+max,73.93,"[72.51, 75.28]",sick:r
ROTS+min,73.89,"[72.45, 75.25]",sick:r
ROTS+last,73.63,"[72.16, 74.95]",sick:r
