model,score,BCa 95% CI,dataset
WRD,77.98,"[75.65, 79.96]",stsb:test
COS,79.70,"[77.58, 81.65]",stsb:test
ROTS+L0,79.71,"[77.55, 81.57]",stsb:test
ROTS+L1,79.78,"[77.56, 81.63]",stsb:test
ROTS+L2,79.70,"[77.54, 81.64]",stsb:test
ROTS+L3,79.47,"[77.14, 81.51]",stsb:test
ROTS+L4,79.48,"[77.34, 81.41]",stsb:test
ROTS+mean,79.79,"[77.55, 81.74]",stsb:test
ROTS+max,79.45,"[77.24, 81.43]",stsb:test
ROTS+min,79.63,"[77.33, 81.61]",stsb:test
ROTS+last,79.28,"[77.07, 81.23]",stsb:test
WRD,52.49,"[47.49, 57.00]",twitter:test
COS,46.46,"[41.22, 51.39]",twitter:test
ROTS+L0,46.20,"[40.78, 51.13]",twitter:test
ROTS+L1,46.48,"[41.19, 51.48]",twitter:test
ROTS+L2,46.84,"[41.49, 51.89]",twitter:test
ROTS+L3,47.97,"[42.69, 52.76]",twitter:test
ROTS+L4,48.72,"[43.67, 53.62]",twitter:test
ROTS+mean,47.40,"[42.14, 52.49]",twitter:test
ROTS+max,48.74,"[43.61, 53.64]",twitter:test
ROTS+min,45.90,"[40.58, 50.83]",twitter:test
ROTS+last,48.72,"[43.68, 53.51]",twitter:test
WRD,68.92,"[67.41, 70.35]",sick:r
COS,71.58,"[70.07, 72.98]",sick:r
ROTS+L0,71.23,"[69.75, 72.64]",sick:r
ROTS+L1,71.77,"[70.30, 73.17]",sick:r
ROTS+L2,71.85,"[70.40, 73.23]",sick:r
ROTS+L3,71.67,"[70.27, 73.04]",sick:r
ROTS+L4,71.36,"[69.89, 72.76]",sick:r
ROTS+mean,71.64,"[70.14, 72.99]",sick:r
ROTS+max,71.36,"[69.89, 72.74]",sick:r
ROTS+min,71.24,"[69.76, 72.68]",sick:r
ROTS+last,71.05,"[69.58, 72.47]",sick:r
