model,score,BCa 95% CI,dataset
WRD,79.03,"[76.80, 80.97]",stsb:test
COS,79.53,"[77.28, 81.52]",stsb:test
ROTS+,79.53,"[77.20, 81.46]",stsb:test
ROTS+,79.75,"[77.50, 81.75]",stsb:test
ROTS+,79.78,"[77.45, 81.75]",stsb:test
ROTS+,79.55,"[77.15, 81.63]",stsb:test
ROTS+,79.71,"[77.41, 81.62]",stsb:test
ROTS+ean,79.83,"[77.57, 81.83]",stsb:test
ROTS+ax,79.71,"[77.42, 81.64]",stsb:test
ROTS+in,79.28,"[76.85, 81.34]",stsb:test
ROTS+ast,79.39,"[77.03, 81.36]",stsb:test
WRD,50.82,"[45.66, 55.60]",twitter:test
COS,43.46,"[38.01, 48.50]",twitter:test
ROTS+,43.46,"[38.11, 48.50]",twitter:test
ROTS+,43.71,"[38.19, 48.46]",twitter:test
ROTS+,43.98,"[38.40, 49.10]",twitter:test
ROTS+,45.05,"[39.73, 49.92]",twitter:test
ROTS+,45.70,"[40.42, 50.78]",twitter:test
ROTS+ean,44.54,"[39.07, 49.62]",twitter:test
ROTS+ax,45.71,"[40.18, 50.60]",twitter:test
ROTS+in,43.14,"[37.45, 48.16]",twitter:test
ROTS+ast,45.62,"[40.29, 50.65]",twitter:test
WRD,70.94,"[69.47, 72.39]",sick:r
COS,74.54,"[73.07, 75.88]",sick:r
ROTS+,74.54,"[73.08, 75.84]",sick:r
ROTS+,75.12,"[73.70, 76.49]",sick:r
ROTS+,75.22,"[73.82, 76.56]",sick:r
ROTS+,75.02,"[73.61, 76.32]",sick:r
ROTS+,74.68,"[73.29, 76.04]",sick:r
ROTS+ean,75.00,"[73.62, 76.36]",sick:r
ROTS+ax,74.68,"[73.27, 76.01]",sick:r
ROTS+in,74.54,"[73.10, 75.87]",sick:r
ROTS+ast,74.41,"[72.98, 75.77]",sick:r
