model,score,BCa 95% CI,dataset
WRD,73.78,"[71.22, 76.14]",stsb:test
COS,73.50,"[70.84, 75.91]",stsb:test
ROTS+L0,73.50,"[70.87, 75.82]",stsb:test
ROTS+L1,73.76,"[71.14, 76.07]",stsb:test
ROTS+L2,73.95,"[71.37, 76.21]",stsb:test
ROTS+L3,73.95,"[71.31, 76.32]",stsb:test
ROTS+L4,74.48,"[71.98, 76.76]",stsb:test
ROTS+mean,74.19,"[71.60, 76.44]",stsb:test
ROTS+max,74.42,"[71.87, 76.76]",stsb:test
ROTS+min,73.52,"[70.90, 75.85]",stsb:test
ROTS+last,74.24,"[71.63, 76.52]",stsb:test
WRD,45.72,"[40.09, 51.01]",twitter:test
COS,42.49,"[36.81, 47.63]",twitter:test
ROTS+L0,42.49,"[36.95, 47.70]",twitter:test
ROTS+L1,42.71,"[37.24, 47.82]",twitter:test
ROTS+L2,42.81,"[37.08, 47.96]",twitter:test
ROTS+L3,43.40,"[37.81, 48.61]",twitter:test
ROTS+L4,43.78,"[38.22, 48.98]",twitter:test
ROTS+mean,43.10,"[37.48, 48.31]",twitter:test
ROTS+max,43.78,"[38.04, 49.04]",twitter:test
ROTS+min,42.36,"[36.69, 47.46]",twitter:test
ROTS+last,43.74,"[38.23, 48.95]",twitter:test
WRD,67.83,"[66.23, 69.41]",sick:r
COS,71.97,"[70.38, 73.50]",sick:r
ROTS+L0,71.98,"[70.40, 73.47]",sick:r
ROTS+L1,72.60,"[71.05, 74.07]",sick:r
ROTS+L2,72.61,"[71.11, 74.08]",sick:r
ROTS+L3,72.37,"[70.84, 73.83]",sick:r
ROTS+L4,72.01,"[70.47, 73.45]",sick:r
ROTS+mean,72.39,"[70.85, 73.86]",sick:r
ROTS+max,72.01,"[70.50, 73.48]",sick:r
ROTS+min,71.98,"[70.40, 73.47]",sick:r
ROTS+last,71.74,"[70.23, 73.25]",sick:r
