model,score,BCa 95% CI,dataset
WRD,73.01,"[70.32, 75.35]",stsb:test
COS,74.22,"[71.73, 76.54]",stsb:test
ROTS+L0,73.93,"[71.36, 76.25]",stsb:test
ROTS+L1,74.06,"[71.43, 76.41]",stsb:test
ROTS+L2,74.15,"[71.55, 76.46]",stsb:test
ROTS+L3,74.14,"[71.58, 76.44]",stsb:test
ROTS+L4,74.47,"[71.87, 76.78]",stsb:test
ROTS+mean,74.37,"[71.81, 76.73]",stsb:test
ROTS+max,74.41,"[71.83, 76.67]",stsb:test
ROTS+min,74.03,"[71.44, 76.36]",stsb:test
ROTS+last,74.37,"[71.84, 76.66]",stsb:test
WRD,46.01,"[40.33, 51.24]",twitter:test
COS,43.76,"[38.16, 48.85]",twitter:test
ROTS+L0,43.62,"[38.07, 48.76]",twitter:test
ROTS+L1,43.83,"[38.19, 49.15]",twitter:test
ROTS+L2,43.90,"[38.10, 49.26]",twitter:test
ROTS+L3,44.45,"[38.75, 49.74]",twitter:test
ROTS+L4,44.82,"[39.21, 50.08]",twitter:test
ROTS+mean,44.19,"[38.65, 49.45]",twitter:test
ROTS+max,44.83,"[39.20, 50.06]",twitter:test
ROTS+min,43.45,"[37.94, 48.60]",twitter:test
ROTS+last,44.88,"[39.25, 50.08]",twitter:test
WRD,66.73,"[65.19, 68.24]",sick:r
COS,70.07,"[68.54, 71.57]",sick:r
ROTS+L0,69.60,"[68.00, 71.10]",sick:r
ROTS+L1,70.13,"[68.56, 71.66]",sick:r
ROTS+L2,70.17,"[68.64, 71.64]",sick:r
ROTS+L3,69.98,"[68.41, 71.45]",sick:r
ROTS+L4,69.68,"[68.16, 71.12]",sick:r
ROTS+mean,69.98,"[68.41, 71.44]",sick:r
ROTS+max,69.68,"[68.14, 71.13]",sick:r
ROTS+min,69.60,"[68.06, 71.15]",sick:r
ROTS+last,69.41,"[67.83, 70.82]",sick:r
