model,score,BCa 95% CI,dataset
WRD,72.52,"[69.80, 74.89]",stsb:test
COS,71.13,"[68.34, 73.60]",stsb:test
ROTS+,71.13,"[68.41, 73.61]",stsb:test
ROTS+,71.57,"[68.95, 74.01]",stsb:test
ROTS+,72.05,"[69.30, 74.44]",stsb:test
ROTS+,72.22,"[69.51, 74.62]",stsb:test
ROTS+,72.93,"[70.34, 75.21]",stsb:test
ROTS+ean,72.34,"[69.75, 74.72]",stsb:test
ROTS+ax,72.79,"[70.22, 75.05]",stsb:test
ROTS+in,71.36,"[68.54, 73.78]",stsb:test
ROTS+ast,72.63,"[70.04, 74.94]",stsb:test
WRD,45.04,"[39.41, 50.32]",twitter:test
COS,40.18,"[34.60, 45.38]",twitter:test
ROTS+,40.18,"[34.51, 45.23]",twitter:test
ROTS+,40.45,"[34.84, 45.47]",twitter:test
ROTS+,40.59,"[34.86, 45.82]",twitter:test
ROTS+,41.19,"[35.48, 46.47]",twitter:test
ROTS+,41.61,"[35.85, 46.86]",twitter:test
ROTS+ean,40.87,"[35.30, 46.18]",twitter:test
ROTS+ax,41.61,"[35.87, 46.84]",twitter:test
ROTS+in,40.11,"[34.50, 45.39]",twitter:test
ROTS+ast,41.43,"[36.01, 46.70]",twitter:test
WRD,68.38,"[66.77, 69.92]",sick:r
COS,72.37,"[70.80, 73.85]",sick:r
ROTS+,72.37,"[70.77, 73.87]",sick:r
ROTS+,73.02,"[71.43, 74.48]",sick:r
ROTS+,73.07,"[71.53, 74.54]",sick:r
ROTS+,72.90,"[71.36, 74.38]",sick:r
ROTS+,72.60,"[71.00, 74.06]",sick:r
ROTS+ean,72.88,"[71.31, 74.31]",sick:r
ROTS+ax,72.60,"[71.04, 74.06]",sick:r
ROTS+in,72.38,"[70.84, 73.91]",sick:r
ROTS+ast,72.35,"[70.79, 73.85]",sick:r
