model,score,BCa 95% CI,dataset
WRD,70.77,"[67.85, 73.44]",stsb:test
COS,69.00,"[66.05, 71.73]",stsb:test
ROTS+L0,69.00,"[66.05, 71.68]",stsb:test
ROTS+L1,69.42,"[66.39, 72.09]",stsb:test
ROTS+L2,69.95,"[66.94, 72.47]",stsb:test
ROTS+L3,70.13,"[67.15, 72.70]",stsb:test
ROTS+L4,70.57,"[67.73, 73.13]",stsb:test
ROTS+mean,69.99,"[67.02, 72.60]",stsb:test
ROTS+max,70.57,"[67.73, 73.13]",stsb:test
ROTS+min,68.91,"[65.89, 71.57]",stsb:test
ROTS+last,70.17,"[67.38, 72.81]",stsb:test
WRD,41.36,"[36.04, 46.45]",twitter:test
COS,33.12,"[27.54, 38.18]",twitter:test
ROTS+L0,33.12,"[27.55, 38.19]",twitter:test
ROTS+L1,33.37,"[27.90, 38.44]",twitter:test
ROTS+L2,33.80,"[28.39, 38.93]",twitter:test
ROTS+L3,34.42,"[28.79, 39.60]",twitter:test
ROTS+L4,34.97,"[29.38, 40.20]",twitter:test
ROTS+mean,33.99,"[28.39, 39.10]",twitter:test
ROTS+max,34.97,"[29.53, 40.05]",twitter:test
ROTS+min,33.18,"[27.90, 38.37]",twitter:test
ROTS+last,34.49,"[28.84, 39.53]",twitter:test
WRD,66.34,"[64.73, 67.88]",sick:r
COS,70.96,"[69.29, 72.53]",sick:r
ROTS+L0,70.96,"[69.31, 72.52]",sick:r
ROTS+L1,71.38,"[69.76, 72.93]",sick:r
ROTS+L2,71.74,"[70.13, 73.26]",sick:r
ROTS+L3,71.50,"[69.86, 73.02]",sick:r
ROTS+L4,71.17,"[69.51, 72.65]",sick:r
ROTS+mean,71.47,"[69.88, 73.03]",sick:r
ROTS+max,71.17,"[69.58, 72.74]",sick:r
ROTS+min,70.75,"[69.07, 72.25]",sick:r
ROTS+last,70.72,"[69.09, 72.28]",sick:r
