model,score,BCa 95% CI,dataset
WRD,70.64,"[67.76, 73.22]",stsb:test
COS,70.41,"[67.47, 73.05]",stsb:test
ROTS+L0,70.13,"[67.23, 72.81]",stsb:test
ROTS+L1,70.44,"[67.59, 73.09]",stsb:test
ROTS+L2,70.87,"[68.02, 73.46]",stsb:test
ROTS+L3,71.03,"[68.06, 73.57]",stsb:test
ROTS+L4,71.40,"[68.58, 73.98]",stsb:test
ROTS+mean,70.92,"[68.06, 73.46]",stsb:test
ROTS+max,71.40,"[68.60, 73.96]",stsb:test
ROTS+min,70.05,"[67.08, 72.66]",stsb:test
ROTS+last,71.22,"[68.32, 73.74]",stsb:test
WRD,43.46,"[38.05, 48.49]",twitter:test
COS,38.84,"[33.44, 44.03]",twitter:test
ROTS+L0,38.46,"[33.08, 43.54]",twitter:test
ROTS+L1,38.67,"[33.18, 43.75]",twitter:test
ROTS+L2,39.03,"[33.49, 43.93]",twitter:test
ROTS+L3,39.58,"[33.98, 44.54]",twitter:test
ROTS+L4,40.03,"[34.62, 45.28]",twitter:test
ROTS+mean,39.21,"[33.82, 44.34]",twitter:test
ROTS+max,40.03,"[34.60, 45.49]",twitter:test
ROTS+min,38.51,"[33.04, 43.56]",twitter:test
ROTS+last,39.74,"[34.26, 44.76]",twitter:test
WRD,66.29,"[64.68, 67.83]",sick:r
COS,71.39,"[69.81, 72.89]",sick:r
ROTS+L0,70.75,"[69.17, 72.26]",sick:r
ROTS+L1,71.02,"[69.46, 72.51]",sick:r
ROTS+L2,71.20,"[69.61, 72.66]",sick:r
ROTS+L3,70.92,"[69.34, 72.40]",sick:r
ROTS+L4,70.56,"[69.02, 72.01]",sick:r
ROTS+mean,70.97,"[69.42, 72.43]",sick:r
ROTS+max,70.56,"[68.98, 72.03]",sick:r
ROTS+min,70.59,"[69.06, 72.13]",sick:r
ROTS+last,70.23,"[68.61, 71.71]",sick:r
