model,score,BCa 95% CI,dataset
WRD,70.33,"[67.42, 73.02]",stsb:test
COS,67.86,"[64.83, 70.63]",stsb:test
ROTS+,67.87,"[64.88, 70.59]",stsb:test
ROTS+,68.40,"[65.42, 71.04]",stsb:test
ROTS+,69.09,"[66.06, 71.70]",stsb:test
ROTS+,69.44,"[66.50, 72.09]",stsb:test
ROTS+,70.00,"[67.15, 72.54]",stsb:test
ROTS+ean,69.14,"[66.29, 71.78]",stsb:test
ROTS+ax,70.00,"[67.12, 72.52]",stsb:test
ROTS+in,67.83,"[64.78, 70.66]",stsb:test
ROTS+ast,69.58,"[66.77, 72.17]",stsb:test
WRD,40.56,"[35.15, 45.83]",twitter:test
COS,31.85,"[26.34, 36.76]",twitter:test
ROTS+,31.86,"[26.51, 36.88]",twitter:test
ROTS+,32.07,"[26.56, 37.15]",twitter:test
ROTS+,32.40,"[26.71, 37.43]",twitter:test
ROTS+,32.96,"[27.63, 38.06]",twitter:test
ROTS+,33.48,"[27.87, 38.72]",twitter:test
ROTS+ean,32.60,"[27.20, 37.64]",twitter:test
ROTS+ax,33.48,"[27.99, 38.60]",twitter:test
ROTS+in,31.94,"[26.48, 36.82]",twitter:test
ROTS+ast,33.09,"[27.75, 38.21]",twitter:test
WRD,67.68,"[66.09, 69.20]",sick:r
COS,72.33,"[70.74, 73.79]",sick:r
ROTS+,72.33,"[70.74, 73.83]",sick:r
ROTS+,72.68,"[71.08, 74.19]",sick:r
ROTS+,73.04,"[71.46, 74.49]",sick:r
ROTS+,72.85,"[71.33, 74.37]",sick:r
ROTS+,72.55,"[70.94, 74.04]",sick:r
ROTS+ean,72.82,"[71.28, 74.29]",sick:r
ROTS+ax,72.55,"[70.99, 74.08]",sick:r
ROTS+in,72.12,"[70.52, 73.67]",sick:r
ROTS+ast,72.22,"[70.62, 73.70]",sick:r
