similarity,stsb:test,twitter:test,sick:r,sts:2012,sts:2013,sts:2014,sts:2015,sts:2016,mean
COS+SUP,73.47,53.15,72.73,63.24,61.41,74.37,76.33,73.47,68.52
WRD+SUP,74.80,57.41,67.67,64.03,58.50,71.32,77.65,75.38,68.35
WRD+SUP+L0,73.47,53.15,72.73,63.23,61.38,74.36,76.33,73.47,68.52
WRD+SUP+L1,69.78,50.42,70.82,58.85,55.75,65.76,73.13,70.95,64.43
WRD+SUP+L2,71.18,51.81,69.98,60.38,55.80,66.69,75.34,70.95,65.27
WRD+SUP+L3,72.51,55.52,68.62,61.34,57.98,68.54,76.45,72.01,66.62
WRD+SUP+L4,73.64,56.29,68.06,62.27,58.09,69.99,77.04,74.27,67.46
ROTS+SUP0,73.47,53.15,72.73,63.23,61.39,74.36,76.33,73.47,68.52
ROTS+SUP1,73.77,53.34,73.31,63.28,61.43,74.30,76.12,73.73,68.66
ROTS+SUP2,74.02,53.40,73.37,63.41,61.47,74.28,76.79,74.09,68.86
ROTS+SUP3,74.05,54.23,73.13,63.41,61.26,74.32,76.88,74.15,68.93
ROTS+SUP4,74.69,54.88,72.77,63.52,61.50,74.30,77.11,74.67,69.18
ROTS+SUPmean,74.25,53.93,73.13,63.52,61.49,74.44,76.75,74.28,68.97
ROTS+SUPmax,74.58,54.88,72.77,63.52,61.35,74.30,77.10,74.55,69.13
ROTS+SUPmin,73.36,52.74,72.74,63.15,61.38,74.27,75.96,73.36,68.37
ROTS+SUPlast,74.30,54.95,72.54,63.36,61.54,74.56,77.10,74.32,69.08
COS+SWC,74.78,54.01,72.12,64.93,63.58,74.98,78.08,75.85,69.79
WRD+SWC,74.58,57.10,67.09,63.80,57.55,71.06,77.65,75.46,68.04
WRD+SWC+L0,74.59,53.74,71.57,63.88,62.41,74.38,77.75,75.44,69.22
WRD+SWC+L1,68.48,49.94,69.75,58.47,56.06,64.69,73.80,71.09,64.04
WRD+SWC+L2,70.17,51.23,68.94,59.70,55.40,65.57,75.19,70.35,64.57
WRD+SWC+L3,71.94,54.85,67.96,60.77,57.33,67.65,76.19,71.42,66.01
WRD+SWC+L4,73.18,55.76,67.43,61.79,57.37,69.42,76.98,73.86,66.97
ROTS+SWC0,74.60,53.74,71.57,63.87,62.41,74.38,77.74,75.43,69.22
ROTS+SWC1,74.84,53.99,72.02,63.84,62.37,74.25,77.55,75.64,69.31
ROTS+SWC2,75.08,54.09,72.00,63.84,62.31,74.15,78.01,75.81,69.41
ROTS+SWC3,75.25,54.95,71.72,63.73,62.08,74.10,77.99,75.71,69.44
ROTS+SWC4,75.66,55.56,71.33,63.63,61.99,74.05,78.11,76.04,69.55
ROTS+SWCmean,75.33,54.59,71.79,63.91,62.29,74.30,77.96,75.95,69.51
ROTS+SWCmax,75.53,55.59,71.33,63.63,61.99,74.05,78.11,75.97,69.53
ROTS+SWCmin,74.80,53.44,71.58,63.83,62.34,74.32,77.51,75.31,69.14
ROTS+SWClast,75.47,55.73,71.15,63.71,62.09,74.40,78.21,75.85,69.58
COS+WR,70.13,52.01,73.20,63.46,59.30,72.95,73.27,70.79,66.89
WRD+WR,73.13,56.73,68.73,63.81,58.09,70.60,77.28,74.48,67.86
WRD+WR+L0,70.13,52.01,73.20,63.45,59.27,72.94,73.27,70.79,66.88
WRD+WR+L1,66.55,49.78,71.38,58.70,52.95,64.30,70.06,67.10,62.60
WRD+WR+L2,69.18,51.38,70.73,60.23,53.10,65.54,73.88,68.86,64.11
WRD+WR+L3,70.83,55.01,69.66,61.07,56.27,67.84,75.51,70.80,65.87
WRD+WR+L4,71.92,55.67,69.13,61.98,56.90,69.31,76.46,73.34,66.84
ROTS+WR0,70.14,52.03,73.20,63.45,59.28,72.94,73.28,70.79,66.89
ROTS+WR1,70.67,52.13,73.82,63.56,59.40,72.85,72.78,70.89,67.01
ROTS+WR2,71.21,52.03,74.01,63.65,59.52,72.83,73.97,71.65,67.36
ROTS+WR3,71.31,52.76,73.94,63.59,59.22,73.12,74.18,71.54,67.46
ROTS+WR4,72.34,53.32,73.75,63.74,59.87,73.20,74.58,72.61,67.92
ROTS+WRmean,71.52,52.59,73.84,63.77,59.58,73.15,73.91,71.97,67.54
ROTS+WRmax,72.17,53.32,73.75,63.73,59.54,73.20,74.58,72.50,67.85
ROTS+WRmin,70.12,51.44,73.21,63.29,59.29,72.61,72.53,70.12,66.58
ROTS+WRlast,71.78,53.41,73.48,63.57,59.86,73.41,74.48,72.00,67.75
