similarity,stsb:test,twitter:test,sick:r,sts:2012,sts:2013,sts:2014,sts:2015,sts:2016,mean
COS+SUP,69.54,49.79,72.92,63.25,61.47,73.26,73.68,70.07,66.75
WRD+SUP,71.97,55.63,67.52,63.93,57.97,70.98,77.00,73.36,67.29
WRD+SUP+L0,69.54,49.79,72.92,63.24,61.45,73.23,73.68,70.07,66.74
WRD+SUP+L1,64.66,47.62,70.38,58.12,55.53,64.72,70.90,67.17,62.39
WRD+SUP+L2,67.43,50.37,69.48,59.65,55.57,65.73,74.13,68.45,63.85
WRD+SUP+L3,69.47,53.51,68.39,60.84,57.78,67.85,75.49,69.99,65.42
WRD+SUP+L4,70.61,54.38,67.90,61.89,57.64,69.52,76.32,72.12,66.30
ROTS+SUP0,69.54,49.79,72.92,63.24,61.45,73.23,73.68,70.07,66.74
ROTS+SUP1,70.03,50.10,73.51,63.30,61.52,73.23,73.56,70.38,66.95
ROTS+SUP2,70.62,50.30,73.56,63.51,61.58,73.31,74.45,71.20,67.31
ROTS+SUP3,70.94,51.08,73.33,63.58,61.39,73.56,74.72,71.26,67.48
ROTS+SUP4,71.79,51.83,72.98,63.81,61.53,73.75,75.16,72.19,67.88
ROTS+SUPmean,70.96,50.73,73.35,63.68,61.59,73.57,74.44,71.41,67.47
ROTS+SUPmax,71.57,51.83,72.98,63.81,61.47,73.75,75.15,71.99,67.82
ROTS+SUPmin,69.87,49.54,72.93,63.12,61.39,73.07,73.30,69.95,66.64
ROTS+SUPlast,71.49,51.76,72.80,63.75,61.55,73.96,75.09,71.62,67.75
COS+SWC,73.14,55.34,71.23,64.41,62.38,74.49,77.43,74.76,69.15
WRD+SWC,72.34,57.31,65.99,63.27,56.29,70.78,77.21,73.88,67.13
WRD+SWC+L0,72.92,54.37,70.53,63.59,61.11,73.93,77.13,74.37,68.49
WRD+SWC+L1,65.75,50.11,68.46,57.83,54.85,64.15,72.98,69.43,62.95
WRD+SWC+L2,67.82,52.26,67.53,59.04,54.18,64.90,74.85,68.60,63.65
WRD+SWC+L3,69.74,55.25,66.83,60.06,56.32,67.18,75.65,69.77,65.10
WRD+SWC+L4,70.93,56.17,66.33,61.07,56.22,69.09,76.54,72.22,66.07
COS+WR,64.67,37.56,71.36,62.21,54.04,68.28,64.03,63.66,60.73
WRD+WR,69.05,48.69,68.01,63.96,56.53,69.54,74.05,71.37,65.15
WRD+WR+L0,64.67,37.56,71.36,62.21,54.01,68.23,64.03,63.66,60.72
WRD+WR+L1,59.96,37.99,70.10,57.75,48.85,61.50,61.52,60.41,57.26
WRD+WR+L2,64.10,42.54,69.58,59.55,49.45,63.54,67.85,64.94,60.20
WRD+WR+L3,66.33,46.52,68.83,60.74,53.55,66.79,70.87,67.69,62.67
WRD+WR+L4,67.51,47.48,68.37,61.98,54.62,68.41,72.71,70.13,63.90
