similarity,stsb:test,twitter:test,sick:r,sts:2012,sts:2013,sts:2014,sts:2015,sts:2016,mean
COS+SUP,79.55,46.56,73.89,67.81,64.49,78.02,78.99,76.89,70.78
WRD+SUP,79.05,52.21,70.02,67.66,61.63,75.44,80.02,76.17,70.28
WRD+SUP+L0,79.55,46.56,73.89,67.81,64.48,78.02,78.99,76.89,70.77
WRD+SUP+L1,74.50,43.22,73.21,61.60,58.71,69.59,75.93,72.18,66.12
WRD+SUP+L2,75.42,46.13,72.56,63.15,59.00,70.41,77.46,71.10,66.90
WRD+SUP+L3,76.33,50.02,71.07,64.23,61.26,72.38,78.48,71.98,68.22
WRD+SUP+L4,77.61,51.03,70.42,65.38,61.32,74.10,79.44,74.53,69.23
ROTS+SUP0,79.55,46.55,73.89,67.81,64.48,78.02,78.99,76.89,70.77
ROTS+SUP1,79.73,46.81,74.47,67.82,64.54,78.08,78.93,77.18,70.95
ROTS+SUP2,79.73,47.08,74.56,67.73,64.59,78.03,79.36,77.28,71.04
ROTS+SUP3,79.54,48.09,74.31,67.50,64.42,78.05,79.40,77.09,71.05
ROTS+SUP4,79.74,48.71,73.93,67.28,64.53,78.01,79.55,77.18,71.12
ROTS+SUPmean,79.81,47.60,74.30,67.81,64.61,78.17,79.34,77.30,71.12
ROTS+SUPmax,79.74,48.73,73.93,67.28,64.50,78.01,79.56,77.17,71.12
ROTS+SUPmin,79.29,46.22,73.89,67.74,64.39,77.93,78.76,76.73,70.62
ROTS+SUPlast,79.37,48.72,73.63,67.07,64.55,78.26,79.55,76.96,71.01
COS+SWC,79.70,46.46,71.58,66.45,62.83,76.97,78.84,76.78,69.95
WRD+SWC,77.98,52.49,68.92,66.09,57.90,73.61,78.75,74.23,68.75
WRD+SWC+L0,79.71,46.21,71.23,65.69,61.25,76.41,78.68,76.38,69.45
WRD+SWC+L1,72.47,42.45,71.33,59.51,54.77,66.51,74.79,68.69,63.82
WRD+SWC+L2,73.87,45.86,70.86,61.17,54.63,67.51,75.88,67.53,64.66
WRD+SWC+L3,75.08,50.12,69.94,62.53,57.05,69.88,76.84,68.94,66.30
WRD+SWC+L4,76.34,51.25,69.33,63.59,57.46,72.02,78.10,72.09,67.52
ROTS+SWC0,79.71,46.20,71.23,65.68,61.25,76.40,78.67,76.37,69.44
ROTS+SWC1,79.78,46.48,71.77,65.61,61.21,76.36,78.51,76.49,69.52
ROTS+SWC2,79.70,46.84,71.85,65.52,61.18,76.24,78.87,76.48,69.58
ROTS+SWC3,79.47,47.97,71.67,65.35,61.01,76.18,78.80,76.06,69.56
ROTS+SWC4,79.48,48.72,71.36,65.20,60.94,76.12,78.91,76.13,69.61
ROTS+SWCmean,79.79,47.40,71.64,65.61,61.19,76.38,78.83,76.49,69.67
ROTS+SWCmax,79.45,48.74,71.36,65.20,60.94,76.12,78.92,76.12,69.60
ROTS+SWCmin,79.63,45.90,71.24,65.63,61.17,76.32,78.40,76.17,69.31
ROTS+SWClast,79.28,48.72,71.05,65.26,60.99,76.38,79.02,76.03,69.59
COS+WR,79.53,43.46,74.54,67.92,64.47,77.99,78.88,77.02,70.48
WRD+WR,79.03,50.82,70.94,68.06,61.68,75.46,80.12,76.19,70.29
WRD+WR+L0,79.53,43.46,74.54,67.92,64.46,77.99,78.88,77.02,70.47
WRD+WR+L1,74.50,40.74,73.99,61.57,58.71,69.56,75.98,71.88,65.87
WRD+WR+L2,75.36,44.09,73.35,63.20,58.89,70.26,77.52,70.92,66.70
WRD+WR+L3,76.19,48.54,71.98,64.47,61.27,72.25,78.51,71.77,68.12
WRD+WR+L4,77.47,49.69,71.32,65.65,61.40,74.05,79.49,74.45,69.19
ROTS+WR0,79.53,43.46,74.54,67.91,64.45,77.99,78.88,77.01,70.47
ROTS+WR1,79.75,43.71,75.12,67.90,64.53,78.07,78.82,77.35,70.65
ROTS+WR2,79.78,43.98,75.22,67.75,64.59,78.02,79.32,77.42,70.76
ROTS+WR3,79.55,45.05,75.02,67.48,64.40,78.08,79.39,77.14,70.76
ROTS+WR4,79.71,45.70,74.68,67.21,64.55,78.06,79.57,77.17,70.83
ROTS+WRmean,79.83,44.54,75.00,67.86,64.62,78.19,79.30,77.42,70.84
ROTS+WRmax,79.71,45.71,74.68,67.21,64.49,78.06,79.57,77.16,70.82
ROTS+WRmin,79.28,43.14,74.54,67.83,64.37,77.87,78.62,76.85,70.31
ROTS+WRlast,79.39,45.62,74.41,67.04,64.60,78.34,79.55,76.97,70.74
