similarity,stsb:test,twitter:test,sick:r,sts:2012,sts:2013,sts:2014,sts:2015,sts:2016,mean
COS+SUP,73.50,42.49,71.97,63.45,62.36,73.97,76.05,70.74,66.82
WRD+SUP,73.78,45.72,67.83,64.56,58.98,71.18,77.03,70.66,66.22
WRD+SUP+L0,73.50,42.49,71.97,63.46,62.34,73.97,76.05,70.74,66.81
WRD+SUP+L1,67.51,40.72,70.33,57.00,55.57,64.24,71.96,64.70,61.50
WRD+SUP+L2,68.96,41.98,69.54,59.75,55.42,65.26,73.94,64.20,62.38
WRD+SUP+L3,70.92,44.45,68.68,60.55,58.13,67.63,75.15,65.88,63.93
WRD+SUP+L4,72.25,44.95,68.15,62.00,58.62,69.48,76.30,68.81,65.07
ROTS+SUP0,73.50,42.49,71.98,63.45,62.34,73.97,76.05,70.74,66.81
ROTS+SUP1,73.76,42.71,72.60,63.46,62.31,73.85,75.91,71.06,66.96
ROTS+SUP2,73.95,42.81,72.61,63.60,62.31,73.77,76.44,71.36,67.11
ROTS+SUP3,73.95,43.40,72.37,63.64,62.07,73.82,76.51,71.15,67.11
ROTS+SUP4,74.48,43.78,72.01,63.68,62.20,73.83,76.73,71.75,67.31
ROTS+SUPmean,74.19,43.10,72.39,63.76,62.34,73.98,76.43,71.50,67.21
ROTS+SUPmax,74.42,43.78,72.01,63.68,62.10,73.83,76.73,71.71,67.28
ROTS+SUPmin,73.52,42.36,71.98,63.42,62.32,73.91,75.79,70.47,66.72
ROTS+SUPlast,74.24,43.74,71.74,63.49,62.23,74.23,76.75,71.32,67.22
COS+SWC,74.22,43.76,70.07,63.94,61.46,74.03,77.19,72.14,67.10
WRD+SWC,73.01,46.01,66.73,63.11,56.06,70.29,76.72,69.99,65.24
WRD+SWC+L0,73.93,43.63,69.60,62.82,59.45,73.30,76.93,71.62,66.41
WRD+SWC+L1,66.32,41.36,68.72,56.44,52.50,62.86,72.22,64.02,60.55
WRD+SWC+L2,67.76,42.00,68.10,58.49,52.22,63.72,73.60,62.95,61.11
WRD+SWC+L3,69.95,44.65,67.56,59.53,54.86,66.20,74.53,64.74,62.75
WRD+SWC+L4,71.31,45.23,67.06,60.60,55.49,68.37,75.88,67.81,63.97
COS+WR,71.13,40.18,72.37,63.40,60.90,73.25,73.65,68.80,65.46
WRD+WR,72.52,45.04,68.38,64.22,58.54,70.63,76.67,70.02,65.75
WRD+WR+L0,71.13,40.18,72.37,63.41,60.88,73.25,73.65,68.80,65.46
WRD+WR+L1,65.31,40.38,70.76,56.78,53.96,63.46,69.84,61.89,60.30
WRD+WR+L2,67.48,41.36,69.94,59.25,54.12,64.52,73.07,62.88,61.58
WRD+WR+L3,69.64,43.73,69.22,59.98,57.36,67.04,74.43,64.93,63.29
WRD+WR+L4,70.92,44.35,68.70,61.43,58.01,68.87,75.83,68.08,64.52
