similarity,stsb:test,twitter:test,sick:r,sts:2012,sts:2013,sts:2014,sts:2015,sts:2016,mean
COS+SUP,69.00,33.12,70.96,62.64,56.63,70.98,72.28,68.83,63.05
WRD+SUP,70.77,41.36,66.34,61.94,54.75,68.62,75.42,71.96,63.90
WRD+SUP+L0,69.00,33.12,70.96,62.53,56.63,70.98,72.28,68.83,63.04
WRD+SUP+L1,64.92,34.36,68.24,56.28,51.34,62.45,69.33,65.90,59.10
WRD+SUP+L2,67.34,36.75,68.12,56.94,52.40,64.42,72.80,68.38,60.89
WRD+SUP+L3,68.89,41.39,67.03,59.43,53.93,66.25,74.27,68.20,62.42
WRD+SUP+L4,70.16,40.77,66.59,61.03,54.17,67.64,75.18,70.84,63.30
ROTS+SUP0,69.00,33.12,70.96,62.53,56.63,70.98,72.28,68.83,63.04
ROTS+SUP1,69.42,33.37,71.38,62.29,56.78,70.84,72.38,69.03,63.19
ROTS+SUP2,69.95,33.80,71.74,62.29,56.80,70.89,72.88,69.65,63.50
ROTS+SUP3,70.13,34.42,71.50,62.20,56.70,71.01,73.18,69.68,63.60
ROTS+SUP4,70.57,34.97,71.17,62.06,56.79,71.03,73.46,70.11,63.77
ROTS+SUPmean,69.99,33.99,71.47,62.43,56.86,71.07,72.94,69.64,63.55
ROTS+SUPmax,70.57,34.97,71.17,62.06,56.79,71.03,73.53,70.11,63.78
ROTS+SUPmin,68.91,33.18,70.75,62.35,56.49,70.81,72.01,68.55,62.88
ROTS+SUPlast,70.17,34.49,70.72,62.51,56.95,71.41,73.34,69.52,63.64
COS+SWC,70.41,38.84,71.39,62.09,60.38,72.10,75.64,72.27,65.39
WRD+SWC,70.64,43.46,66.29,61.41,54.40,68.51,75.71,72.15,64.07
WRD+SWC+L0,70.13,38.46,70.75,60.87,59.00,71.39,75.22,71.90,64.71
WRD+SWC+L1,64.50,37.32,67.73,55.03,53.61,61.73,71.32,67.01,59.78
WRD+SWC+L2,66.80,39.23,67.65,55.75,53.10,63.60,73.16,68.42,60.96
WRD+SWC+L3,68.57,43.52,66.95,58.50,53.95,65.66,74.53,68.03,62.46
WRD+SWC+L4,69.92,42.86,66.52,60.34,53.86,67.29,75.51,70.83,63.39
COS+WR,67.86,31.85,72.33,62.45,56.95,70.58,71.99,68.05,62.76
WRD+WR,70.33,40.56,67.68,62.31,55.02,68.52,75.57,71.62,63.95
WRD+WR+L0,67.86,31.85,72.33,62.33,56.95,70.58,71.99,68.05,62.74
WRD+WR+L1,64.02,33.07,69.39,56.46,51.74,62.71,69.21,65.22,58.98
WRD+WR+L2,66.64,35.63,69.25,57.08,52.41,64.39,72.76,68.00,60.77
WRD+WR+L3,68.36,40.34,68.34,59.63,54.01,66.13,74.39,67.82,62.38
WRD+WR+L4,69.66,39.91,67.91,61.38,54.31,67.51,75.31,70.48,63.31
